,concept:name
44,275
46,207
40,201
41,165
39,155
38,143
45,135
43,129
42,115
37,68
36,66
54,60
55,58
48,53
56,49
35,47
47,43
51,42
49,40
50,38
53,38
7,37
60,32
5,29
18,27
59,27
61,25
57,24
52,23
62,21
58,20
14,19
17,18
33,18
11,17
12,17
66,16
64,16
13,16
22,16
26,16
63,16
72,16
34,15
67,15
68,14
19,14
21,14
24,14
70,13
16,13
73,13
76,12
80,12
69,12
6,12
20,11
9,11
23,11
31,11
27,10
78,10
30,10
65,9
82,9
74,9
32,9
75,8
25,8
77,8
10,8
71,7
3,7
28,7
29,7
8,6
15,6
4,6
83,4
98,4
89,4
85,3
88,3
81,3
79,3
124,2
84,2
2,2
94,2
1,1
93,1
91,1
86,1
87,1
103,1
121,1
